nba_id,positions
2038,['C']
201619,['C']
200826,"['PG', 'SG']"
201935,"['PG', 'SG']"
201180,"['PG', 'SG']"
202703,"['PF', 'SF']"
201604,['UN']
201238,"['PG', 'SG']"
202348,"['PG', 'SG']"
950,"['PG', 'SG']"
1913,"['SF', 'C']"
203999,['C']
1626153,"['PG', 'SG']"
201571,"['PG', 'SG']"
202365,"['PF', 'SF']"
203648,['UN']
204067,"['SF', 'PG']"
101106,['C']
202324,"['SF', 'C']"
1863,"['PG', 'SG']"
201970,"['PF', 'SG']"
201950,"['PG', 'SG']"
203093,"['PF', 'SF']"
201632,['C']
1716,['UN']
1626171,"['PF', 'SF']"
1626214,"['PG', 'SG']"
202391,"['PG', 'SG']"
101115,['C']
203900,"['PG', 'SG']"
200781,['UN']
201582,['C']
1626173,"['PG', 'SG']"
202220,"['PG', 'SG']"
201144,"['PG', 'SG']"
1905,['UN']
201966,['UN']
202331,"['PF', 'SF']"
200811,"['PF', 'SF']"
1723,"['PF', 'SF']"
2216,"['PF', 'SF']"
1626174,"['PF', 'SF']"
978,"['PF', 'SF']"
